internal_datasource_id,read_ts,channel_classifier,value
732945972422885594,2022-10-24 22:15:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.007999999999999119
732945972422885594,2022-10-24 22:30:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.012999999999998124
732945972422885594,2022-10-24 22:45:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.004000000000001336
732945972422885594,2022-10-24 23:00:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.0030000000000001137
732945972422885594,2022-10-24 23:15:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.004000000000001336
732945972422885594,2022-10-24 23:30:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.0030000000000001137
732945972422885594,2022-10-24 23:45:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.010999999999999233
732945972422885594,2022-10-25 00:00:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.00999999999999801
732945972422885594,2022-10-25 00:15:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.0030000000000001137
732945972422885594,2022-10-25 00:30:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.004000000000001336
732945972422885594,2022-10-25 00:45:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.0030000000000001137
732945972422885594,2022-10-25 01:00:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.003999999999997783
732945972422885594,2022-10-25 01:15:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.013000000000001677
732945972422885594,2022-10-25 01:30:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.007999999999999119
732945972422885594,2022-10-25 01:45:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.0030000000000001137
732945972422885594,2022-10-25 02:00:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.004000000000001336
732945972422885594,2022-10-25 02:15:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.0030000000000001137
732945972422885594,2022-10-25 02:30:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.004999999999999005
732945972422885594,2022-10-25 02:45:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.013999999999999346
732945972422885594,2022-10-25 03:00:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.006000000000000227
732945972422885594,2022-10-25 03:15:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.0030000000000001137
732945972422885594,2022-10-25 03:30:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.004000000000001336
732945972422885594,2022-10-25 03:45:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.0030000000000001137
732945972422885594,2022-10-25 04:00:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.007999999999999119
732945972422885594,2022-10-25 04:15:00+00:00,ACTIVE_DELIVERED_INT15_RAW,0.012000000000000455
